District,Season,Soil_Type,N,P,K,Soil_pH,Temperature,Humidity,Rainfall,Crop
Pune,Kharif,Black,72,39,57,7.07,19.14,63.11,99.89,Rice
Solapur,Kharif,Black,51,31,57,8.1,26.38,69.25,77.5,Bajra
Solapur,Rabi,Black,57,34,60,7.8,25.07,66.45,60.23,Jowar
Solapur,Zaid,Black,52,30,56,7.87,25.46,68.03,71.68,Fodder
Nashik,Zaid,Loamy,63,37,58,6.86,28.04,33.22,89.55,Vegetables
Pune,Rabi,Black,73,38,51,7.31,21.1,56.76,111.04,Wheat
Solapur,Kharif,Black,57,32,60,8.17,27.95,70.6,80.83,Bajra
Solapur,Kharif,Black,49,35,60,7.62,26.7,74.82,70.17,Bajra
Solapur,Rabi,Black,55,36,59,7.34,27.36,74.23,70.8,Jowar
Nashik,Zaid,Loamy,64,40,55,6.64,27.89,30.85,76.19,Vegetables
Solapur,Zaid,Black,50,35,58,7.5,27.11,70.44,72.75,Fodder
Pune,Rabi,Black,72,37,53,6.59,22.56,56.38,107.36,Wheat
Solapur,Kharif,Black,56,31,59,7.75,27.37,72.82,71.93,Bajra
Nashik,Zaid,Loamy,69,38,55,6.75,28.31,35.97,97.24,Vegetables
Pune,Kharif,Black,75,40,54,6.94,20.27,57.2,98.61,Rice
Solapur,Kharif,Black,58,37,58,7.39,26.11,72.31,68.87,Bajra
Solapur,Kharif,Black,55,31,58,7.31,27.86,59.65,57.55,Bajra
Pune,Zaid,Black,76,36,57,7.32,21.06,59.87,102.93,Vegetables
Nashik,Rabi,Loamy,64,36,59,6.84,29.62,40.91,80.62,Gram
Pune,Zaid,Black,73,41,55,6.83,22.15,63.8,100.61,Vegetables
Solapur,Zaid,Black,56,35,56,7.56,26.62,70.52,60.41,Fodder
Nashik,Rabi,Loamy,61,37,54,6.78,29.15,37.24,93.43,Gram
Solapur,Zaid,Black,48,35,60,7.57,27.92,69.14,88.73,Fodder
Nashik,Kharif,Loamy,62,38,60,6.48,26.73,36.98,88.04,Onion
Nashik,Zaid,Loamy,67,35,55,6.82,27.89,33.17,87.07,Vegetables
Solapur,Zaid,Black,58,36,58,7.85,25.9,70.6,58.08,Fodder
Pune,Rabi,Black,68,40,52,7.1,19.93,62.07,107.93,Wheat
Solapur,Kharif,Black,50,34,57,7.42,26.94,70.99,83.68,Bajra
Pune,Zaid,Black,76,41,56,6.97,20.01,69.35,102.28,Vegetables
Pune,Zaid,Black,73,36,56,6.8,19.64,61.47,113.32,Vegetables
Solapur,Rabi,Black,50,33,58,8.2,24.99,64.64,52.5,Jowar
Pune,Zaid,Black,72,37,52,7.09,21.92,55.6,106.86,Vegetables
Solapur,Rabi,Black,48,32,58,7.69,27.51,61.58,82.51,Jowar
Solapur,Rabi,Black,56,37,62,7.89,29.16,69.84,65.42,Jowar
Pune,Zaid,Black,75,40,54,6.85,19.05,60.87,117.42,Vegetables
Solapur,Kharif,Black,54,32,56,7.87,28.15,66.02,83.18,Bajra
Nashik,Kharif,Loamy,66,40,57,6.8,29.87,37.08,99.78,Onion
Solapur,Kharif,Black,58,34,62,7.55,27.42,75.21,74.11,Bajra
Solapur,Rabi,Black,53,37,55,7.99,25.51,67.09,89.07,Jowar
Solapur,Rabi,Black,54,36,60,7.71,28.01,62.93,65.24,Jowar
Pune,Kharif,Black,74,40,54,7.15,20.0,70.04,107.69,Rice
Solapur,Zaid,Black,57,32,60,7.56,28.99,68.01,77.56,Fodder
Nashik,Rabi,Loamy,67,36,54,6.9,29.54,27.75,106.72,Gram
Nashik,Zaid,Loamy,70,35,58,6.7,29.25,28.93,92.47,Vegetables
Nashik,Zaid,Loamy,64,37,59,6.57,28.66,35.34,98.0,Vegetables
Solapur,Zaid,Black,53,38,59,7.99,25.5,68.28,51.84,Fodder
Nashik,Kharif,Loamy,66,35,59,6.97,29.67,33.07,90.32,Onion
Pune,Zaid,Black,77,40,54,7.07,20.78,58.9,114.64,Vegetables
Pune,Rabi,Black,70,40,52,7.15,21.66,56.89,110.04,Wheat
Solapur,Kharif,Black,48,32,56,7.46,29.06,72.54,71.77,Bajra
Pune,Zaid,Black,71,37,55,7.1,20.26,62.12,113.36,Vegetables
Nashik,Kharif,Loamy,64,38,56,6.77,29.06,35.34,87.87,Onion
Pune,Zaid,Black,73,39,54,7.05,20.26,52.48,128.31,Vegetables
Pune,Zaid,Black,76,40,55,7.09,20.24,69.12,103.87,Vegetables
Nashik,Rabi,Loamy,65,39,58,7.16,28.54,42.86,93.53,Gram
Pune,Rabi,Black,75,40,52,6.57,19.28,56.42,97.6,Wheat
Nashik,Zaid,Loamy,66,41,54,6.83,28.66,29.31,99.45,Vegetables
Nashik,Kharif,Loamy,68,38,58,6.88,27.96,35.03,78.95,Onion
Pune,Kharif,Black,79,39,51,6.8,20.47,54.74,112.18,Rice
Nashik,Rabi,Loamy,59,37,53,6.4,28.99,32.38,108.34,Gram
Pune,Zaid,Black,72,41,50,6.87,21.73,58.79,98.07,Vegetables
Pune,Zaid,Black,70,40,53,7.16,19.45,55.02,113.61,Vegetables
Pune,Zaid,Black,74,39,54,7.28,20.86,70.7,116.08,Vegetables
Pune,Rabi,Black,78,40,51,7.09,19.07,73.25,92.48,Wheat
Solapur,Rabi,Black,57,36,58,8.02,27.28,74.73,72.53,Jowar
Nashik,Zaid,Loamy,67,41,54,6.93,27.87,24.68,119.5,Vegetables
Solapur,Rabi,Black,54,38,62,7.63,26.5,65.26,58.75,Jowar
Solapur,Kharif,Black,57,38,61,7.98,25.53,75.31,82.36,Bajra
Pune,Kharif,Black,71,36,55,6.54,20.53,68.4,91.08,Rice
Pune,Rabi,Black,71,41,56,6.92,22.61,64.89,121.37,Wheat
Pune,Kharif,Black,78,37,51,7.24,21.55,52.82,115.32,Rice
Nashik,Zaid,Loamy,60,39,54,7.03,28.5,29.73,89.7,Vegetables
Pune,Rabi,Black,79,40,51,7.2,20.01,57.86,125.8,Wheat
Pune,Zaid,Black,70,41,55,7.21,22.1,64.96,118.65,Vegetables
Nashik,Kharif,Loamy,64,40,58,6.86,29.05,36.77,94.65,Onion
Solapur,Zaid,Black,53,33,57,7.93,27.66,75.21,74.9,Fodder
Solapur,Zaid,Black,52,32,63,7.66,27.92,69.58,68.41,Fodder
Solapur,Zaid,Black,56,34,62,7.4,27.81,73.03,79.33,Fodder
Solapur,Kharif,Black,52,34,63,7.66,25.22,73.73,78.09,Bajra
Nashik,Rabi,Loamy,65,39,55,7.03,27.4,42.81,87.42,Gram
Pune,Kharif,Black,75,38,55,6.98,20.65,54.04,97.49,Rice
Pune,Kharif,Black,73,42,57,7.26,20.61,65.09,101.6,Rice
Nashik,Kharif,Loamy,64,38,60,7.01,29.09,40.48,88.72,Onion
Nashik,Rabi,Loamy,60,40,59,6.84,30.8,45.25,78.3,Gram
Pune,Kharif,Black,77,39,52,6.86,19.84,60.79,106.19,Rice
Solapur,Kharif,Black,57,34,61,8.02,28.6,74.0,68.3,Bajra
Pune,Kharif,Black,74,38,53,7.06,20.45,62.5,92.3,Rice
Nashik,Rabi,Loamy,67,37,57,6.34,27.8,26.18,94.21,Gram
Pune,Zaid,Black,78,36,55,7.04,19.82,50.92,104.51,Vegetables
Nashik,Zaid,Loamy,60,37,57,6.78,27.58,30.22,96.14,Vegetables
Nashik,Zaid,Loamy,63,38,56,6.77,29.15,34.47,93.79,Vegetables
Nashik,Zaid,Loamy,65,38,54,6.54,30.01,35.08,98.43,Vegetables
Solapur,Kharif,Black,54,31,61,7.66,24.83,71.69,65.99,Bajra
Nashik,Zaid,Loamy,59,35,59,6.93,28.2,29.41,90.56,Vegetables
Solapur,Kharif,Black,48,32,59,7.83,28.08,67.27,73.34,Bajra
Solapur,Kharif,Black,60,37,58,7.73,28.74,62.4,72.3,Bajra
Nashik,Rabi,Loamy,67,39,55,6.9,28.9,25.1,92.98,Gram
Solapur,Rabi,Black,58,35,58,7.51,26.71,63.73,63.33,Jowar
Nashik,Rabi,Loamy,66,36,60,7.03,28.75,35.02,98.1,Gram
Pune,Rabi,Black,77,42,52,6.7,19.59,65.77,105.78,Wheat
Pune,Rabi,Black,75,38,55,6.99,19.59,60.48,103.51,Wheat
Pune,Zaid,Black,77,40,52,7.14,20.8,68.92,126.15,Vegetables
Pune,Rabi,Black,72,40,57,7.09,20.25,66.57,109.74,Wheat
Nashik,Rabi,Loamy,63,39,57,6.87,30.02,39.18,94.38,Gram
Solapur,Kharif,Black,57,32,62,7.94,26.78,73.58,73.97,Bajra
Solapur,Rabi,Black,56,34,60,7.78,27.24,73.53,63.6,Jowar
Pune,Rabi,Black,71,35,55,6.94,19.39,55.88,119.34,Wheat
Solapur,Zaid,Black,51,34,62,8.02,29.21,64.48,78.83,Fodder
Nashik,Kharif,Loamy,65,33,58,6.68,30.63,32.16,90.39,Onion
Solapur,Kharif,Black,58,33,57,7.56,27.78,62.93,59.8,Bajra
Solapur,Rabi,Black,55,35,59,7.73,27.8,66.1,76.77,Jowar
Nashik,Rabi,Loamy,66,40,59,7.27,28.73,43.13,95.75,Gram
Solapur,Zaid,Black,52,31,61,7.67,27.12,62.77,81.98,Fodder
Pune,Zaid,Black,75,38,53,6.8,19.17,50.79,126.13,Vegetables
Nashik,Kharif,Loamy,65,34,54,7.23,28.31,43.32,107.24,Onion
Nashik,Zaid,Loamy,64,37,57,7.01,29.44,33.86,98.86,Vegetables
Nashik,Rabi,Loamy,69,37,58,6.88,28.66,25.42,94.14,Gram
Solapur,Kharif,Black,50,36,55,7.74,29.21,71.55,75.26,Bajra
Pune,Kharif,Black,80,40,51,6.61,21.12,70.78,130.1,Rice
Solapur,Rabi,Black,51,35,60,7.88,25.54,68.19,69.87,Jowar
Solapur,Kharif,Black,57,33,63,8.24,28.31,75.82,81.77,Bajra
Pune,Zaid,Black,74,41,52,7.25,20.48,70.16,104.41,Vegetables
Solapur,Zaid,Black,51,35,60,7.86,28.18,75.19,75.39,Fodder
Solapur,Rabi,Black,56,30,58,7.6,28.96,69.32,88.28,Jowar
Solapur,Kharif,Black,56,35,57,7.75,26.79,73.12,76.15,Bajra
Pune,Zaid,Black,80,40,55,6.84,21.21,58.97,106.26,Vegetables
Pune,Rabi,Black,76,41,54,7.17,18.94,61.7,89.9,Wheat
Pune,Zaid,Black,71,39,54,7.24,20.83,60.62,91.87,Vegetables
Solapur,Zaid,Black,55,32,55,7.88,28.71,65.51,84.52,Fodder
Pune,Rabi,Black,74,38,52,6.83,20.91,69.24,107.52,Wheat
Pune,Zaid,Black,75,39,55,6.83,21.5,58.19,115.62,Vegetables
Pune,Kharif,Black,76,39,52,7.02,20.36,66.25,121.07,Rice
Pune,Zaid,Black,71,39,51,7.06,21.93,65.95,89.35,Vegetables
Solapur,Kharif,Black,56,30,59,7.93,26.92,62.37,74.43,Bajra
Solapur,Zaid,Black,52,35,56,7.76,26.92,71.18,91.38,Fodder
Solapur,Kharif,Black,53,31,60,7.97,26.8,66.55,63.16,Bajra
Solapur,Rabi,Black,53,36,57,7.69,26.81,68.57,69.27,Jowar
Nashik,Zaid,Loamy,67,38,53,6.68,28.69,36.4,87.1,Vegetables
Solapur,Kharif,Black,56,31,59,7.72,28.64,66.86,65.12,Bajra
Nashik,Rabi,Loamy,65,35,58,7.22,30.11,36.62,112.31,Gram
Nashik,Rabi,Loamy,62,37,57,6.65,28.92,31.33,91.29,Gram
Solapur,Rabi,Black,55,31,57,7.93,26.47,68.0,80.28,Jowar
Pune,Rabi,Black,74,37,56,6.91,21.03,67.2,127.78,Wheat
Nashik,Zaid,Loamy,66,36,60,6.69,29.58,39.69,96.43,Vegetables
Pune,Zaid,Black,70,39,55,6.99,19.69,58.15,117.27,Vegetables
Nashik,Zaid,Loamy,62,37,56,6.36,28.01,36.14,95.21,Vegetables
Solapur,Kharif,Black,56,31,62,7.78,27.46,65.92,65.41,Bajra
Pune,Zaid,Black,74,39,53,6.96,22.46,66.71,113.52,Vegetables
Pune,Rabi,Black,72,39,55,6.75,20.71,56.26,105.9,Wheat
Pune,Kharif,Black,75,39,53,6.92,19.59,71.97,86.97,Rice
Nashik,Zaid,Loamy,65,34,59,6.64,29.25,33.03,107.48,Vegetables
Solapur,Zaid,Black,54,38,59,7.82,28.26,64.09,85.68,Fodder
Pune,Kharif,Black,73,41,54,6.83,21.92,63.1,94.18,Rice
Pune,Rabi,Black,72,39,56,7.04,22.66,53.56,89.81,Wheat
Solapur,Rabi,Black,53,35,60,7.59,28.72,63.24,84.93,Jowar
Nashik,Rabi,Loamy,67,34,56,6.79,30.15,43.05,110.61,Gram
Solapur,Rabi,Black,56,32,60,8.13,26.13,66.72,72.06,Jowar
Nashik,Zaid,Loamy,62,33,58,6.75,28.86,31.89,89.87,Vegetables
Solapur,Kharif,Black,51,33,61,7.89,28.51,70.3,88.26,Bajra
Nashik,Rabi,Loamy,67,35,59,6.69,28.74,34.14,107.21,Gram
Solapur,Zaid,Black,59,36,59,7.47,28.44,72.34,59.74,Fodder
Nashik,Kharif,Loamy,65,41,60,6.92,28.22,38.49,85.19,Onion
Solapur,Zaid,Black,56,33,58,7.59,25.58,72.55,62.96,Fodder
Solapur,Kharif,Black,60,35,58,7.89,26.58,68.32,67.33,Bajra
Nashik,Kharif,Loamy,64,40,57,6.91,30.0,27.61,105.43,Onion
Nashik,Rabi,Loamy,64,35,56,6.51,27.86,32.94,105.16,Gram
Solapur,Rabi,Black,55,37,59,7.84,27.48,70.47,69.8,Jowar
Pune,Zaid,Black,70,41,53,7.23,19.82,61.57,126.75,Vegetables
Solapur,Zaid,Black,49,31,59,7.72,27.18,69.02,68.96,Fodder
Pune,Rabi,Black,72,42,51,7.23,20.3,61.48,130.83,Wheat
Pune,Kharif,Black,75,42,56,7.09,21.91,67.89,98.28,Rice
Nashik,Rabi,Loamy,66,36,55,6.82,29.62,32.19,94.76,Gram
Pune,Kharif,Black,78,40,54,6.53,21.68,65.86,112.94,Rice
Pune,Kharif,Black,71,40,52,6.81,18.66,60.93,109.97,Rice
Solapur,Zaid,Black,60,32,61,8.09,26.58,74.55,80.31,Fodder
Nashik,Zaid,Loamy,64,36,56,6.66,29.69,36.29,89.6,Vegetables
Nashik,Kharif,Loamy,65,38,58,7.02,30.09,32.53,87.76,Onion
Pune,Zaid,Black,76,40,52,6.65,20.15,62.32,109.97,Vegetables
Pune,Zaid,Black,79,42,53,7.2,19.27,60.45,98.03,Vegetables
Nashik,Kharif,Loamy,66,38,55,7.1,29.62,36.42,108.47,Onion
Pune,Kharif,Black,70,41,51,7.38,21.88,57.75,96.72,Rice
Nashik,Kharif,Loamy,64,39,55,6.47,28.12,27.49,92.51,Onion
Solapur,Zaid,Black,57,37,55,7.73,27.8,67.45,93.74,Fodder
Nashik,Zaid,Loamy,62,35,56,7.12,30.12,30.49,113.82,Vegetables
Nashik,Zaid,Loamy,63,37,58,6.98,29.82,35.64,101.92,Vegetables
Pune,Rabi,Black,70,39,52,6.56,21.83,59.74,108.47,Wheat
Nashik,Kharif,Loamy,58,36,60,6.71,28.14,27.59,92.53,Onion
Pune,Kharif,Black,75,39,57,7.12,19.82,67.18,112.81,Rice
Solapur,Zaid,Black,56,34,57,8.1,27.88,77.06,91.68,Fodder
Nashik,Kharif,Loamy,65,37,61,6.66,28.99,41.97,96.68,Onion
Solapur,Rabi,Black,48,33,58,7.7,24.85,66.9,72.95,Jowar
Pune,Zaid,Black,72,41,54,7.12,20.55,61.8,118.55,Vegetables
Solapur,Zaid,Black,53,33,60,7.88,26.71,61.76,59.15,Fodder
Solapur,Zaid,Black,54,33,61,7.91,26.65,64.5,64.95,Fodder
Nashik,Rabi,Loamy,60,36,55,6.71,28.49,38.62,76.57,Gram
Solapur,Zaid,Black,58,32,57,7.83,26.87,64.92,75.59,Fodder
Nashik,Zaid,Loamy,66,40,58,6.89,30.03,35.1,91.89,Vegetables
Pune,Zaid,Black,78,36,55,7.16,19.4,64.29,98.75,Vegetables
Pune,Rabi,Black,73,39,57,7.09,18.21,58.33,113.91,Wheat
Pune,Zaid,Black,77,41,51,6.84,20.59,69.08,90.28,Vegetables
Nashik,Kharif,Loamy,62,36,55,6.74,28.62,35.11,99.88,Onion
Solapur,Zaid,Black,55,35,58,7.5,25.33,70.86,61.86,Fodder
Pune,Kharif,Black,76,40,50,7.02,20.43,54.81,107.62,Rice
Pune,Rabi,Black,69,38,56,6.66,20.47,61.26,107.35,Wheat
Nashik,Rabi,Loamy,63,37,56,6.4,28.49,43.04,88.41,Gram
Solapur,Zaid,Black,58,36,62,7.74,26.93,75.39,88.34,Fodder
Nashik,Kharif,Loamy,64,40,59,6.93,27.22,28.57,84.55,Onion
Solapur,Zaid,Black,50,32,61,8.23,28.59,73.09,64.81,Fodder
Solapur,Rabi,Black,51,34,62,7.87,25.63,70.16,59.64,Jowar
Solapur,Kharif,Black,56,35,56,7.65,27.24,66.31,60.33,Bajra
Nashik,Kharif,Loamy,62,38,56,7.09,28.92,34.98,89.0,Onion
Pune,Zaid,Black,79,35,58,7.33,20.77,67.93,113.89,Vegetables
Solapur,Zaid,Black,58,32,60,7.97,27.66,68.54,92.1,Fodder
Solapur,Zaid,Black,55,34,61,7.51,26.07,64.47,72.08,Fodder
Solapur,Zaid,Black,55,31,61,7.76,29.03,74.64,80.04,Fodder
Nashik,Rabi,Loamy,69,37,58,6.7,26.71,31.22,106.74,Gram
Solapur,Zaid,Black,54,33,57,7.8,28.31,76.84,61.61,Fodder
Solapur,Kharif,Black,57,36,60,7.56,28.07,59.72,73.29,Bajra
Pune,Rabi,Black,76,41,54,7.17,19.94,68.21,107.53,Wheat
Pune,Zaid,Black,74,37,54,6.68,20.14,66.29,106.45,Vegetables
Pune,Zaid,Black,72,38,56,6.82,22.55,67.24,118.07,Vegetables
Solapur,Rabi,Black,58,37,58,7.65,27.61,71.54,69.44,Jowar
Pune,Zaid,Black,78,41,52,6.79,22.7,55.59,105.08,Vegetables
Solapur,Kharif,Black,50,37,61,7.96,27.25,64.62,62.14,Bajra
Solapur,Rabi,Black,51,32,58,7.97,27.54,70.2,75.89,Jowar
Nashik,Rabi,Loamy,61,35,53,6.95,27.64,34.59,87.16,Gram
Nashik,Rabi,Loamy,63,38,57,6.96,26.64,36.13,93.48,Gram
Solapur,Kharif,Black,56,36,60,7.73,27.66,70.92,86.2,Bajra
Solapur,Kharif,Black,49,35,60,8.09,26.9,75.11,55.91,Bajra
Solapur,Kharif,Black,59,32,58,8.09,28.72,72.19,57.87,Bajra
Pune,Rabi,Black,74,37,54,6.69,19.26,58.65,101.0,Wheat
Pune,Rabi,Black,77,41,53,7.24,21.01,56.11,104.01,Wheat
Solapur,Zaid,Black,57,34,61,7.77,29.03,77.97,71.96,Fodder
Nashik,Zaid,Loamy,66,36,55,7.14,28.9,34.01,99.58,Vegetables
Solapur,Kharif,Black,55,32,63,7.63,26.84,66.85,75.71,Bajra
Nashik,Kharif,Loamy,69,34,55,6.79,28.34,36.0,103.55,Onion
Nashik,Kharif,Loamy,61,38,58,6.95,28.07,44.6,100.16,Onion
Pune,Rabi,Black,76,41,50,7.2,20.52,66.3,127.62,Wheat
Nashik,Zaid,Loamy,59,40,57,6.45,29.27,43.29,90.33,Vegetables
Nashik,Kharif,Loamy,64,37,59,6.69,29.39,33.44,89.58,Onion
Solapur,Kharif,Black,52,32,59,7.67,26.72,66.56,83.36,Bajra
Pune,Kharif,Black,72,37,50,7.1,20.74,64.74,110.09,Rice
Pune,Rabi,Black,69,40,55,6.65,19.18,62.98,108.8,Wheat
Pune,Zaid,Black,78,37,54,6.87,19.17,57.89,125.99,Vegetables
Solapur,Zaid,Black,48,34,62,7.74,28.26,68.66,73.69,Fodder
Nashik,Zaid,Loamy,67,40,58,6.52,29.19,25.05,115.21,Vegetables
Pune,Zaid,Black,78,36,57,7.04,19.39,60.95,113.12,Vegetables
Solapur,Rabi,Black,52,31,60,7.63,26.16,66.16,81.08,Jowar
Pune,Kharif,Black,71,40,56,7.1,19.57,63.9,89.67,Rice
Solapur,Rabi,Black,57,34,62,7.8,28.62,73.73,71.6,Jowar
Nashik,Zaid,Loamy,63,36,60,6.77,29.94,32.12,86.87,Vegetables
Pune,Zaid,Black,77,39,56,6.98,20.08,51.85,124.99,Vegetables
Pune,Rabi,Black,75,36,54,7.11,22.6,65.94,114.4,Wheat
Nashik,Zaid,Loamy,66,39,58,6.92,29.68,32.81,90.58,Vegetables
Pune,Zaid,Black,76,36,55,6.97,19.67,51.9,87.2,Vegetables
Solapur,Kharif,Black,49,34,60,7.82,27.52,76.53,84.9,Bajra
Pune,Kharif,Black,73,40,57,7.11,20.75,58.53,128.24,Rice
Solapur,Kharif,Black,59,35,63,7.59,26.72,67.84,60.94,Bajra
Solapur,Rabi,Black,54,36,58,7.76,26.76,65.43,76.99,Jowar
Nashik,Kharif,Loamy,63,38,55,6.72,28.67,26.44,101.43,Onion
Nashik,Rabi,Loamy,66,36,54,6.57,29.76,40.63,96.49,Gram
Solapur,Zaid,Black,51,31,62,7.98,28.01,74.75,76.16,Fodder
Solapur,Rabi,Black,52,33,57,7.84,27.75,67.37,66.19,Jowar
Nashik,Kharif,Loamy,67,37,61,6.72,27.56,45.43,84.66,Onion
Pune,Kharif,Black,73,43,54,7.23,22.22,71.64,129.46,Rice
Solapur,Zaid,Black,55,34,61,7.68,26.22,76.17,59.18,Fodder
Nashik,Rabi,Loamy,70,38,61,6.66,28.86,25.3,73.41,Gram
Pune,Rabi,Black,77,38,55,6.86,18.75,63.38,111.06,Wheat
Pune,Kharif,Black,76,39,56,7.33,21.53,68.14,113.27,Rice
Solapur,Kharif,Black,51,33,58,7.73,26.04,79.65,76.41,Bajra
Nashik,Zaid,Loamy,64,35,59,6.82,28.9,33.09,82.47,Vegetables
Pune,Rabi,Black,78,40,54,6.99,20.01,72.17,122.63,Wheat
Solapur,Kharif,Black,55,33,59,7.33,27.01,79.03,71.88,Bajra
Solapur,Rabi,Black,57,32,59,7.63,27.25,73.99,72.44,Jowar
Pune,Rabi,Black,73,42,54,6.96,21.25,68.6,101.52,Wheat
Nashik,Zaid,Loamy,59,33,55,6.9,28.25,40.61,109.59,Vegetables
Nashik,Zaid,Loamy,68,37,55,6.54,30.89,31.67,105.68,Vegetables
Nashik,Zaid,Loamy,58,34,61,6.78,28.21,29.7,100.95,Vegetables
Pune,Rabi,Black,70,39,53,6.83,21.76,65.37,112.13,Wheat
Solapur,Kharif,Black,57,36,58,7.77,27.94,68.39,84.56,Bajra
Solapur,Rabi,Black,55,35,58,8.0,27.75,71.18,92.02,Jowar
Solapur,Rabi,Black,57,33,60,7.71,26.63,68.05,82.21,Jowar
Nashik,Zaid,Loamy,63,38,58,6.94,30.22,38.25,87.97,Vegetables
Solapur,Rabi,Black,58,35,61,7.51,28.74,59.67,94.57,Jowar
Solapur,Zaid,Black,52,33,63,7.6,26.78,65.61,70.13,Fodder
Solapur,Kharif,Black,58,35,61,7.62,26.65,64.43,71.44,Bajra
Nashik,Zaid,Loamy,65,37,57,6.48,27.17,38.54,78.97,Vegetables
Pune,Rabi,Black,74,38,55,6.59,18.8,66.52,102.06,Wheat
Solapur,Rabi,Black,53,35,60,7.94,25.69,68.61,82.29,Jowar
Solapur,Rabi,Black,55,32,62,7.43,27.16,77.54,78.43,Jowar
Pune,Rabi,Black,73,41,52,6.61,20.81,72.12,105.16,Wheat
Nashik,Rabi,Loamy,67,37,58,6.99,30.06,35.12,113.38,Gram
Pune,Rabi,Black,77,40,56,6.89,20.35,57.57,129.15,Wheat
Solapur,Zaid,Black,52,32,59,8.27,26.51,73.71,67.55,Fodder
Nashik,Kharif,Loamy,66,36,56,7.02,29.42,39.75,91.22,Onion
Pune,Zaid,Black,77,41,55,6.91,20.37,53.56,100.08,Vegetables
Solapur,Kharif,Black,55,36,57,7.85,28.63,67.86,80.22,Bajra
Solapur,Rabi,Black,55,35,61,7.56,28.91,62.54,75.94,Jowar
Pune,Kharif,Black,72,43,56,7.02,20.47,54.86,109.13,Rice
Nashik,Rabi,Loamy,69,34,57,7.26,26.72,27.92,90.02,Gram
Solapur,Rabi,Black,54,35,60,8.04,27.74,66.4,79.53,Jowar
Pune,Zaid,Black,72,42,53,7.22,19.53,61.96,104.93,Vegetables
Pune,Zaid,Black,74,40,53,6.63,18.69,61.14,108.76,Vegetables
Pune,Kharif,Black,74,40,55,7.18,21.86,66.31,101.58,Rice
Solapur,Rabi,Black,55,33,60,7.9,28.14,58.02,76.81,Jowar
Pune,Kharif,Black,73,37,56,7.33,20.65,66.71,129.76,Rice
Pune,Zaid,Black,76,38,56,6.87,20.64,55.86,116.97,Vegetables
Pune,Rabi,Black,72,41,54,7.14,19.9,71.36,111.57,Wheat
Pune,Zaid,Black,78,37,53,6.7,18.81,62.64,121.41,Vegetables
Nashik,Rabi,Loamy,61,39,58,6.64,28.12,29.96,101.36,Gram
Solapur,Zaid,Black,59,32,59,8.09,26.34,59.04,69.28,Fodder
Nashik,Kharif,Loamy,61,37,60,6.59,29.64,33.9,94.42,Onion
Pune,Zaid,Black,76,43,53,7.08,21.68,62.26,116.46,Vegetables
Solapur,Kharif,Black,52,32,61,7.67,24.97,69.4,74.06,Bajra
Pune,Kharif,Black,75,40,51,6.81,22.01,67.16,110.04,Rice
Nashik,Kharif,Loamy,61,39,60,6.72,29.24,39.39,89.02,Onion
Solapur,Kharif,Black,56,34,58,7.88,27.47,70.22,94.82,Bajra
Nashik,Zaid,Loamy,59,40,55,6.81,27.38,33.86,92.57,Vegetables
Pune,Rabi,Black,74,40,54,6.72,19.28,57.96,126.24,Wheat
Solapur,Zaid,Black,53,35,59,7.75,27.23,69.38,94.84,Fodder
Pune,Rabi,Black,76,42,51,6.94,20.32,62.84,130.94,Wheat
Pune,Kharif,Black,75,40,56,6.73,19.3,63.87,119.74,Rice
Nashik,Zaid,Loamy,69,38,55,7.11,27.18,45.57,97.63,Vegetables
